detector,gps_start,sample_rate_kHz,duration,file_format,download_url
H1,1187006834,16,4096,GWF,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170817/v1/H-H1_LOSC_C00_16_V1-1187006834-4096.gwf
H1,1187006834,16,4096,HDF,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170817/v1/H-H1_LOSC_C00_16_V1-1187006834-4096.hdf5
H1,1187006834,16,4096,TXT,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170817/v1/H-H1_LOSC_C00_16_V1-1187006834-4096.txt.gz
H1,1187006834,4,4096,GWF,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170817/v1/H-H1_LOSC_C00_4_V1-1187006834-4096.gwf
H1,1187006834,4,4096,HDF,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170817/v1/H-H1_LOSC_C00_4_V1-1187006834-4096.hdf5
H1,1187006834,4,4096,TXT,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170817/v1/H-H1_LOSC_C00_4_V1-1187006834-4096.txt.gz
L1,1187006834,16,4096,GWF,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170817/v1/L-L1_LOSC_C00_16_V1-1187006834-4096.gwf
L1,1187006834,16,4096,HDF,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170817/v1/L-L1_LOSC_C00_16_V1-1187006834-4096.hdf5
L1,1187006834,16,4096,TXT,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170817/v1/L-L1_LOSC_C00_16_V1-1187006834-4096.txt.gz
L1,1187006834,4,4096,GWF,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170817/v1/L-L1_LOSC_C00_4_V1-1187006834-4096.gwf
L1,1187006834,4,4096,HDF,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170817/v1/L-L1_LOSC_C00_4_V1-1187006834-4096.hdf5
L1,1187006834,4,4096,TXT,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170817/v1/L-L1_LOSC_C00_4_V1-1187006834-4096.txt.gz
V1,1187006834,16,4096,GWF,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170817/v1/V-V1_LOSC_C00_16_V1-1187006834-4096.gwf
V1,1187006834,16,4096,HDF,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170817/v1/V-V1_LOSC_C00_16_V1-1187006834-4096.hdf5
V1,1187006834,16,4096,TXT,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170817/v1/V-V1_LOSC_C00_16_V1-1187006834-4096.txt.gz
V1,1187006834,4,4096,GWF,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170817/v1/V-V1_LOSC_C00_4_V1-1187006834-4096.gwf
V1,1187006834,4,4096,HDF,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170817/v1/V-V1_LOSC_C00_4_V1-1187006834-4096.hdf5
V1,1187006834,4,4096,TXT,https://gwosc.org/eventapi/json/O1_O2-Preliminary/GW170817/v1/V-V1_LOSC_C00_4_V1-1187006834-4096.txt.gz
