metric,value,note
h1_rows,131072.0,Number of rows in H1 baseline.
l1_rows,131072.0,Number of rows in L1 baseline.
merged_rows,131072.0,Number of rows in merged baseline.
h1_sample_rate_hz,4096.0,H1 sample rate copied from input summary.
l1_sample_rate_hz,4096.0,L1 sample rate copied from input summary.
h1_peak_time_centered_s,3.9697265625,Time-centered coordinate of max absolute H1 strain.
l1_peak_time_centered_s,6.76025390625,Time-centered coordinate of max absolute L1 strain.
merged_peak_time_centered_s,12.61669921875,"Time-centered coordinate of max absolute mean(H1,L1) strain."
h1_peak_abs_strain,7.706262192395323e-19,Maximum absolute H1 strain.
l1_peak_abs_strain,1.8697138664246853e-18,Maximum absolute L1 strain.
merged_peak_abs_mean_strain,1.183738246539846e-18,"Maximum absolute mean(H1,L1) strain."
h1_strain_std,2.1808773917471215e-19,Standard deviation of H1 strain.
l1_strain_std,2.3089828133160067e-19,Standard deviation of L1 strain.
merged_mean_strain_std,1.5917059611796401e-19,Standard deviation of merged mean strain.
h1_l1_peak_time_offset_s,2.79052734375,Absolute difference between H1 and L1 peak times.
mean_abs_detector_difference,1.052214074335275e-18,Mean absolute difference |H1-L1| over the event window.
max_abs_detector_difference,2.149498539230137e-18,Maximum absolute difference |H1-L1| over the event window.
