sample_index,gps_time,time_since_start_s,time_centered_s,strain,detector,strain_abs,strain_sign,strain_sq
0,1187006834.0,0.0,-2048.0,-2.1601580082865736e-19,V1,2.1601580082865736e-19,-1.0,4.666282620764617e-38
1,1187006834.000244,0.000244140625,-2047.999755859375,-2.6132997693871773e-19,V1,2.6132997693871773e-19,-1.0,6.829335684679074e-38
2,1187006834.0004883,0.00048828125,-2047.99951171875,-2.301717083937458e-19,V1,2.301717083937458e-19,-1.0,5.297901534489555e-38
3,1187006834.0007324,0.000732421875,-2047.999267578125,-2.6025803154161887e-19,V1,2.6025803154161887e-19,-1.0,6.773424298191829e-38
4,1187006834.0009766,0.0009765625,-2047.9990234375,-2.5678505573496247e-19,V1,2.5678505573496247e-19,-1.0,6.593856484880779e-38
5,1187006834.0012207,0.001220703125,-2047.998779296875,-2.615658377935278e-19,V1,2.615658377935278e-19,-1.0,6.84166875006301e-38
6,1187006834.0014648,0.00146484375,-2047.99853515625,-2.685423061696263e-19,V1,2.685423061696263e-19,-1.0,7.211497020290131e-38
7,1187006834.001709,0.001708984375,-2047.998291015625,-2.6285570274338425e-19,V1,2.6285570274338425e-19,-1.0,6.909312046471838e-38
8,1187006834.0019531,0.001953125,-2047.998046875,-3.062733318561184e-19,V1,3.062733318561184e-19,-1.0,9.3803353806248e-38
9,1187006834.0021973,0.002197265625,-2047.997802734375,-2.6455777678321974e-19,V1,2.6455777678321974e-19,-1.0,6.999081725647992e-38
10,1187006834.0024414,0.00244140625,-2047.99755859375,-3.0899603410498503e-19,V1,3.0899603410498503e-19,-1.0,9.547854909260909e-38
11,1187006834.0026855,0.002685546875,-2047.997314453125,-2.960445477100719e-19,V1,2.960445477100719e-19,-1.0,8.764237422886104e-38
12,1187006834.0029297,0.0029296875,-2047.9970703125,-3.269348051340724e-19,V1,3.269348051340724e-19,-1.0,1.0688636680805391e-37
13,1187006834.0031738,0.003173828125,-2047.996826171875,-3.0572547695201147e-19,V1,3.0572547695201147e-19,-1.0,9.346806725753491e-38
14,1187006834.003418,0.00341796875,-2047.99658203125,-3.4431644246024493e-19,V1,3.4431644246024493e-19,-1.0,1.1855381254847917e-37
15,1187006834.003662,0.003662109375,-2047.996337890625,-3.429061351592975e-19,V1,3.429061351592975e-19,-1.0,1.1758461752988642e-37
16,1187006834.0039062,0.00390625,-2047.99609375,-3.5134894087874923e-19,V1,3.5134894087874923e-19,-1.0,1.234460782566188e-37
17,1187006834.0041504,0.004150390625,-2047.995849609375,-3.451886786412246e-19,V1,3.451886786412246e-19,-1.0,1.1915522386207464e-37
18,1187006834.0043943,0.00439453125,-2047.99560546875,-3.5273845516691805e-19,V1,3.5273845516691805e-19,-1.0,1.2442441775354389e-37
19,1187006834.004639,0.004638671875,-2047.995361328125,-3.692989183094914e-19,V1,3.692989183094914e-19,-1.0,1.3638169106456045e-37
20,1187006834.0048828,0.0048828125,-2047.9951171875,-3.423972330982037e-19,V1,3.423972330982037e-19,-1.0,1.1723586523330563e-37
